Sample ID	Skeletal code	Y chromosome haplogroup	mtDNA haplogroup	Coverage	Date	Culture / Split Label	Broad chronological / archaeological period	Location	Latitude, Longitude
I6889	Grave 1002, BKG11, DA-BIR0317-014	R1a-Z93	H2b	4.359063	1287-1393 calCE (640±20 BP, PSUAMS-6205)	Barikot_H	Antiquity and Medieval	Swat Valley, Barikot	34.6776028, 72.2124806
I1805	Grave 51, single burial , SINGOOR20	R1a-Z2122	M3a1	0.814283	1485-1650 calCE (310±30 BP, Beta-428668)	Singoor_Medieval	Antiquity and Medieval	Swat Valley, Singoor	36.2802778, 72.4146694
I12294	UfaNov17-054, Ksirov 1979, kurgan 9, Ksirov III	R1a-Z2123	H1	0.408975	88 calBCE - 50 calCE (2020±20 BP, PSUAMS-6160)	Ksirov_H_Kushan	Iron Age	Ksirov	37.41563, 68.17371
I12450	Grave unrecorded (25?), Individual 1/?, ID 3542, 587	R1a-Z94	M3a2	1.094883	824-792 calBCE (2630±20 BP, PSUAMS-5279)	Butkara_IA	Late Bronze / Iron Age	Swat Valley, Butkara II	34.7593861, 72.3708333
I12457	Grave 65, Individual 2 (A) in a double burial , 594	R1a-Z94	W3a1	1.010838	1044-922 calBCE (2830±20 BP, PSUAMS-5280)	Loebanr_IA	Late Bronze / Iron Age	Swat Valley, Loebanr	34.7514611, 72.4019361
I4315	UZ-JAR-004, Jarkutan 4b-85, Grave 60	R1b-L278 (pre-PH155)	R2+13500+195	3.011	1609-1465 calBCE (3255±15 BP, PSUAMS-2518)	Dzharkutan1_BA	Bronze Age	Dzharkutan	37.75, 67
Darra.I.Kur	Darra.I.Kur	not determined	H2a	0.031	2850-2460 calBCE (3989±31 BP, OxA-31781)	Darra_i_kur_MBA	Bronze Age	Darra-i-Kur Cave	36.783333, 70
I6711	StPet42, collection 6136, individual 4	R1b-L23	J2a2a	0.213903	2950-2650 BCE [son of RISE511 with a date of 2909-2679 calBCE (4224±36 BP, OxA-31568)]	Afanasievo	Early / Middle Bronze Age	Middle Yenisei region, Afanasieva Gora	54.35661, 90.919186
I5270	Tomsk_1951, inventory number 1951, burial 4	R1b-Z2103	T1a1	0.212	3322-2939 calBCE (4435±20 BP, PSUAMS-2405)	Afanasievo	Early / Middle Bronze Age	Elo 1	50.7581128, 85.56024972
I2071	230/6, tomb 10	R1b-Z2103	H6a1b	0.635	3331-2704 calBCE [2926-2704 calBCE (4260±35 BP, Poz-83510), 3322-2923 calBCE (4423±29 BP, OxA-31219), 3331-2935 calBCE (4442±29 BP, OxA-31220)]	Afanasievo	Early / Middle Bronze Age	Altai Mountains, Ust'-Kuyum	51.49763611, 85.97078889
I5278	Tomsk_2101, inventory number 2101, burial 8	R1b-Z2103	U5a1a1	0.525	3084-2911 calBCE (4370±25 BP, PSUAMS-2354)	Afanasievo	Early / Middle Bronze Age	Lower Tyumechin 1	50.75364627, 85.55666955
I5279	Tomsk_2102, inventory number 2102, burial 9	R1b-Z2103	U4d1	2.715	3012-2897 calBCE (4330±20 BP, PSUAMS-2355)	Afanasievo	Early / Middle Bronze Age	Lower Tyumechin 1	50.75364627, 85.55666955
I5273	Tomsk_1959, inventory number 1959, burial 1	R1b-Z2103>Z2106>Z2108	T2a1a	2.926	3011-2887 calBCE (4310±25 BP, PSUAMS-2352)	Afanasievo	Early / Middle Bronze Age	Lower Tyumechin 1	50.7536463, 85.5566695
I11112	16) Podsukhanikha II, kurgan 19A, burial 1	R1b-Z2103	H15b1	0.889992	3000-2700 BCE [2926-2779 calBCE (4271±30 BP, Bln-5280), based on a sample of wood from the grave]	Afanasievo	Early / Middle Bronze Age	Krasnoyarsk Krai, Minusinsk, Podsukhanika II	53.87388889, 91.46972222
I0231	SVP3, Ekaterinovka B.1 Raskop 1	R1b-Z2103>Z2106>Z2108>KMS67>Y20993	U4a1a or U4a1d	9.905002	2921-2762 calBCE [2921-2762 calBCE (4260±30 BP, Beta-392487), 2913-2882 calBCE (4275±20 BP, PSUAMS-4279)]	Yamnaya_Samara	Early / Middle Bronze Age	Samara, Southern Steppe, Ekaterinovka	52.71085, 49.4668556
I7671	Bobrovka kurgan 1, grave 1	R1b-Z2103>Z2106>Z2108>KMS67>Y20993 	U5a1b	1.682285	2885-2680 calBCE (4185±20 BP, PSUAMS-4275)	Poltavka	Early / Middle Bronze Age	Samara Oblast, Volga River Valley, Bobrovka	53.1663889, 50.6736111
I3387	StPet41, collection 6136, individual 3	R1b-Z2103	J2a2a	3.17406	2950-2600 BCE [sibling of RISE511 who is directly dated]	Afanasievo	Early / Middle Bronze Age	Middle Yenisei region, Afanasieva Gora	54.35661, 90.919186
I6294	41, Grachevka II 2/1	R1b-Z2103>Y13369	U5a1g	1.02177	2876-2666 calBCE (4160±20 BP, PSUAMS-2956)	Poltavka	Early / Middle Bronze Age	Samara, Sok River, Grachevka	53.58975, 50.5712917
I6712	StPet45, collection 6136, individual 8	R1b-Z2103>Z2106>Z2108	T2c1a2	1.291225	2858-2505 calBCE (4095±25 BP, PSUAMS-3883)	Afanasievo_son.I10565	Early / Middle Bronze Age	Middle Yenisei region, Afanasieva Gora	54.35661, 90.919186
I8745	Nikolaevka III K.1 B.3	R1b-Z2103>Z2106>Z2106>KMS67 	U4b	0.776334	2500-2200 BCE	Poltavka	Early / Middle Bronze Age	Samara Oblast, Volga River Valley, Nikolaevka Kurgan	49.9666667, 44.6666667
I5277	Tomsk_2099, inventory number 2099, Kurgan 5	R1b-Z2103>Z2108	U4b3	2.702	3264-2916 calBCE [3083-2916 calBCE (4375±20 BP, PSUAMS-2353), 3264-2929 calBCE (4420±20 BP, PSUAMS-2368)]	Afanasievo	Early / Middle Bronze Age	Elo Bashi	50.7564863, 85.5608788
I5269	Tomsk_1950, inventory number 1950, burial 3	R1b-Z2103>Z2108	T2a1a	3.056	3016-2899 calBCE (4335±25 BP, PSUAMS-2350)	Afanasievo	Early / Middle Bronze Age	Elo 1	50.7581128, 85.5602497
I3952	StPet51, collection 6612, individual 5	R1b-Z2103>Z2108	U5a1a1	29768	2866-2579 calBCE (4120±30 BP, PSUAMS-1957)	Afanasievo	Early / Middle Bronze Age	Altai Mountains, Yenisey River, left bank of Karasuk tributary, Karasuk III	54.335899, 91.793907
I3977	CII No 44, stone fencing 27	R1b-M73 (xY14051, xY20750)	U5b2b	1.799	1126-1000 calBCE (2885±20 BP, PSUAMS-2507)	Zevakinskiy_LBA	Late Bronze Age	Zevakinskiy stone fence	50.2249, 81.8367833
I1028/I0941	976, kurgan 2, burial 11, skeleton 2 / 1003, kurgan 2, burial 1	R1b-M73>pre-Y14051	U2e1'2	1.029	1878-1664 calBCE (3440±30 BP, Beta-436293)	Sintashta_MLBA_o3	Middle / Late Bronze Age	Kamennyi Ambar 5 Cemetery	52.8166667, 60.4666667
I7670	Grachyevka I, k. 1, sample 1	R1b-M269 (M269 PF7563- Y36978-. Z2103- Z2118- L52-)	J1c1b1a	0.604195	2121-1942 calBCE (3640±20 BP, PSUAMS-4274)	Potapovka	Middle / Late Bronze Age	Samara, Sok River, Grachevka	53.58975, 50.5712917
I0980	972, kurgan 2, trench 5	P1 (xQ)	H13a1a	0.027103	2050-1650 BCE [based on directly dated samples from the same site]	Sintashta_MLBA_o1	Middle / Late Bronze Age	Kamennyi Ambar 5 Cemetery	52.8166667, 60.4666667
I7949	BILI_7958, Grave ?, No. 15, National Museum No. P7A 7958	R1b-L151 (xU106,xP312)	U5a1i1	5.470052	2200-800 BCE	Bilina_BA	Middle / Late Bronze Age	Bílina, Köhler's sandpit	50.5589705, 13.802021
I1020	982, kurgan 2, burial 15	R1b-Z2103>Z2106>Z2108>KMS67>Y20993>KMS86	J2b1d	0.914	2012-1774 calBCE (3555±31 BP, OxA-12533)	Sintashta_MLBA_o2	Middle / Late Bronze Age	Kamennyi Ambar 5 Cemetery	52.8166667, 60.4666667
I2327	FH8, K10 B1	R1b-Z2103	K1a17a	0.641309	1193-1019 calBCE (2910±20 BP, PSUAMS-4413)	Hajji_Firuz_IA	Iron Age	Hajji Firuz	36.9944, 45.4744
I4087	ANAU3	R2-FGC50368	W3a1	2.902	4000-3000 BCE	Tepe_Anau_EN	Chalcolithic / Eneolithic	Turkestan, Tepe Anau	37.872, 58.225
I4085	ANAU1	R2-Y3399>Y3370>Y12100>Y8763	H13a2a	1.294	4000-3000 BCE	Tepe_Anau_EN	Chalcolithic / Eneolithic	Turkestan, Tepe Anau	37.872, 58.225
I1954	GD41	R2a	R2-pre-Y3399	5.003401	8294-7992 calBCE (9000±40 BP, Beta-436170)	Ganj_Dareh_N	Mesolithic / Neolithic	Ganj Dareh	34.45, 48.116
I1946	GD20	R2-pre-Y3399	..	0.154656	8250-7850 BCE [father of I1947 at 8210-7845 calBCE (8860±30 BP, Beta-432800), father of I1952 at 8219-7761 calBCE (8850±50 BP, Poz-81114)]	Ganj_Dareh_N_father.of.I1947_father.of.I1952	Mesolithic / Neolithic	Ganj Dareh	34.45, 48.116
I1947	GD22	R2-pre-Y3399	R2	3.312513	8210-7836 calBCE (8860±30 BP, Beta-432800)	Ganj_Dareh_N	Mesolithic / Neolithic	Ganj Dareh	34.45, 48.116
I1952	GD40	R2-pre-Y3399	R	0.205223	8219-7761 calBCE (8850±50 BP, Poz-81114)	Ganj_Dareh_N_son.of.I1946_brother.of.I1947	Mesolithic / Neolithic	Ganj Dareh	34.45, 48.116
I7492	UZ-ST-008, Sappali Tepe (ST) 1971, 33, Grave 00-78	R2-Y3399>Y3370* (xY12100, FGC13203)	K1a	2.904231	1971-1782 calBCE (3560±20 BP, PSUAMS-3121)	Sappali_Tepe_BA	Bronze Age	Sappali Tepe	37.4166667, 66.8333333
I7419	UZ-ST-001, Sappali Tepe (ST), Grave 00-56	R2-Y3399>Y3370>FGC13203>pre-Y101424	J1b	2.631643	1881-1701 calBCE (3475±20 BP, PSUAMS-3229)	Sappali_Tepe_BA	Bronze Age	Sappali Tepe	37.4166667, 66.8333333
I6675	StPet34, grave 16, Museum ID 7651-153	R2-Y3399>Y3370>FGC13203>pre-Y101424	W3b	0.985655	1600-1000 BCE	Sumbar_LBA	Bronze Age	Sumbar	37.9316, 58.432537
I11520	UZ-BST-015, Site 4, Grave 4, 57-27	R2-Y3399>Y3370>Y12100>Y8763>Y8766	HV2a2	3.64891	1613-1509 calBCE (3280±20 BP, PSUAMS-4605)	Bustan_BA_o2	Bronze Age	Bustan	37.6666667, 67
I7722	Grave 2, single burial , DA-SIM0317-077	R2-Y3399>Y3370>Y12100>Y8763>Y8766>V3714>Y1378>Y1376	U2b2	3.505971	400-200 BCE	Saidu_Sharif_H_o	Antiquity and Medieval	Swat Valley, Saidu Sharif	34.7570056, 72.3623806
I8245	Grave 4, Individual 1, ALIG_4_2	R2-Y3399>Y3370>Y12100>Y8763>Y8766>V3714>L295>Y1280>SK2155>Y28600	HV6	2.702195	356-121 calBCE (2165±20 BP, PSUAMS-6197)	Aligrama_H	Antiquity and Medieval	Swat Valley, Aligrama	34.8048944, 72.3181694
I12292	UfaNov17-047, Ksirov 1979, kurgan 25, Ksirov III	R2-Y3399 (xY8763)	U2e1e	0.831969	166-44 calBCE (2075±20 BP, PSUAMS-6159)	Ksirov_H_Kushan	Iron Age	Ksirov	37.41563, 68.17371
I8998	Grave 78, single burial	R2-FGC50368*	W3a1b	3.95464	1000-800 BCE	Loebanr_IA	Late Bronze / Iron Age	Swat Valley, Loebanr	34.7514611, 72.4019361
I8997	Grave 76, Individual 1 in a double burial	R2-FGC50368*	W3a1b	3.533623	1000-800 BCE	Loebanr_IA_brother.I8998	Late Bronze / Iron Age	Swat Valley, Loebanr	34.7514611, 72.4019361
I12449	Grave 26, Individual 3 (C or A (?)) in a triple burial , T.26, 586	R2-Y3399>Y3370>Y12100>Y8763	U1a1c1d	0.600363	1000-800 BCE	Butkara_IA_father.or.son.I12968	Late Bronze / Iron Age	Swat Valley, Butkara II	34.7593861, 72.3708333
I12968	Grave 26 C (?), single burial , BI T26/C, 695	R2-Y3399>Y3370>Y12100>Y8763>Y8766>Y5080	U1a1	1.619783	1000-800 BCE	Butkara_IA	Late Bronze / Iron Age	Swat Valley, Butkara II	34.7658417, 72.3491333
I12470	Grave 113 (?) in a single burial , 608	R2-Y3399>Y3370>Y12100>Y8763	M30c1	2.37315	1000-800 BCE	Katelai_IA	Late Bronze / Iron Age	Swat Valley, Katelai	34.7658417, 72.3491333
I12473	Grave 187, Individual 1 (B) in a double burial , 611	R2-Y3399>Y3370>Y12100>Y8763	T2g	0.052201	1000-800 BCE	Katelai_IA	Late Bronze / Iron Age	Swat Valley, Katelai	34.7658417, 72.3491333
I5399	Grave 191, single burial	R2-Y3399>Y3370>Y12100>Y8763>FGC64354	J1d3a	0.328	1000-800 BCE	Katelai_IA	Late Bronze / Iron Age	Swat Valley, Katelai	34.7658417, 72.3491333
I12147	Grave 145, single burial , 566	R2-Y3399>Y3370>Y12100>Y8763>Y8766>V3714>L295>Y1334 (xY1357)	U7b	0.545348	1207-1014 calBCE (2910±25 BP, PSUAMS-5426)	Katelai_IA	Late Bronze / Iron Age	Swat Valley, Katelai	34.7658417, 72.3491333
I12462	Grave 139, single burial , 599	R2-Y3399>Y3370>Y12100>Y8763>Y8766>V3714>L295>Y1334>Y1357	HV12b1	1.519457	1000-800 BCE	Katelai_IA	Late Bronze / Iron Age	Swat Valley, Katelai	34.7658417, 72.3491333
I2512	TH16-118, 33-16-118, Period 2(3)	T-M70>Y11151>pre-Y8614	HV	0.271941	2916-2876 calBCE (4265±25 BP, PSUAMS-1914)	Tepe_Hissar_C	Chalcolithic / Eneolithic	Tepe Hissar	36.1544444, 54.3836111
I2514	TH23-73, 33-23-73, Period 3	T-M70>Y11151>Y8614>Y12871>pre-Y13280	W3b	5.554	2474-2307 calBCE (3915±25 BP, PSUAMS-1918)	Tepe_Hissar_C	Chalcolithic / Eneolithic	Tepe Hissar	36.1544444, 54.3836111
I1781	Gonur 2003 tomb 3012 sample 1	T-M70>Y11151>Y8614>Y12871>pre-Y13280	..	0.345139	2009-1772 calBCE (3550±30 BP, PSUAMS-2065)	Gonur1_BA	Bronze Age	Gonur	38.1907, 62.0343
I12458	Grave 9, single burial , 595	J2b-M241>Z2432>Z2437>Y950	M4	1.511464	1000-800 BCE	Loebanr_IA	Late Bronze / Iron Age	Swat Valley, Loebanr	34.7514611, 72.4019361
