ソート	地方＆都道府県番号	ID	国名2文字	国名	地方番号	地方	都道府県番号	都道府県			緯度	経度	遺跡	Site Name	標本番号	性別	年齢	可視化開始ユリウス日=IF(S2="","",ROUND((S2-R2/2)*365.2425+1721242,0))	可視化終了ユリウス日=IF(S2="","",ROUND((S2+R2/2)*365.2425+1721242,0))	ユリウス日=IF(S2="","",ROUND(S2*365.2425+1721242,0))	可視化する年代幅=IF(S2="","",-0.4*IF(S2>1400,1400,S2)+680)	時代(数値のみ)	時代	14C年代	較正14C年代(1σ)	較正14C年代(2σ)		年代	年代補足	ハプログループ結果	使用部位	APLP	PCR-Luminex	その他	その他手法				NGS	手法	(Quality)	NGS	手法	(Quality)	Schmutziによる汚染率推定 [min, max]		Y	Y新	文献1	文献2	文献3	文献4	文献5
JP10204	204	537	JP	日本	2	東北地方	4	宮城県			38.670277	141.151666	青鳥貝塚		No.0	女性	壮年	720478	1261036	990757	1480	-2000	about 4000 yrs. B.P. 縄文中期～後期							D4b	省略	D4b																	[72]	[71]			
JP10204	204	538	JP	日本	2	東北地方	4	宮城県			38.670277	141.151666	青鳥貝塚		No.1 AoshimaNo.1-Tohoku	男性	成人	720478	1261036	990757	1480	-2000	about 4000 yrs. B.P. 縄文中期～後期							N9d(N9bやN9d1とするデータ有)	省略	N9d/N9b																	[72]	[71]			
JP10204	204	539	JP	日本	2	東北地方	4	宮城県			38.670277	141.151666	青鳥貝塚		No.6	女性	熟年	720478	1261036	990757	1480	-2000	縄文中期～後期								省略																		[71]				
JP10204	204	540	JP	日本	2	東北地方	4	宮城県			38.670277	141.151666	青鳥貝塚		No.9	男性	成人	720478	1261036	990757	1480	-2000	縄文中期～後期								省略																		[71]				
JP10204	204	541	JP	日本	2	東北地方	4	宮城県			38.670277	141.151666	青鳥貝塚		No.10	女性	熟年	720478	1261036	990757	1480	-2000	about 4000 yrs. B.P. 縄文中期～後期							M7a	省略	M7a																	[72]	[71]			
JP10204	204	542	JP	日本	2	東北地方	4	宮城県			38.670277	141.151666	青鳥貝塚		No.14	男性	熟年	720478	1261036	990757	1480	-2000	縄文中期～後期								省略																		[71]				
JP10204	204	543	JP	日本	2	東北地方	4	宮城県			38.335939	141.145261	里浜貝塚		No.2		成人	1158769	1553230	1356000	1080	-1000	縄文晩期								省略																		[71]				
JP10204	204	544	JP	日本	2	東北地方	4	宮城県			38.335939	141.145261	里浜貝塚		No.5		成人	1158769	1553230	1356000	1080	-1000	about 3000 yrs. B.P. 縄文晩期							N9b2	省略	N9b2																	[72]	[71]			
JP10204	204	545	JP	日本	2	東北地方	4	宮城県			38.335939	141.145261	里浜貝塚		No.6		成人	1158769	1553230	1356000	1080	-1000	縄文晩期							N9b2	省略	N9b2																	[71]				
JP10204	204	546	JP	日本	2	東北地方	4	宮城県			38.335939	141.145261	里浜貝塚		No.13	男性	成人	1158769	1553230	1356000	1080	-1000	縄文晩期							M7a	省略	M7a																	[71]				
JP10204	204	547	JP	日本	2	東北地方	4	宮城県			38.335939	141.145261	里浜貝塚		No.15	男性	成人	1158769	1553230	1356000	1080	-1000	about 3000 yrs. B.P. 縄文晩期							M7a	省略	M7a																	[72]	[71]			
JP10204	204	548	JP	日本	2	東北地方	4	宮城県			38.335939	141.145261	里浜貝塚		Feb-96	男性	成人	1158769	1553230	1356000	1080	-1000	縄文晩期								省略																		[71]				
JP10204	204	549	JP	日本	2	東北地方	4	宮城県			38.335939	141.145261	里浜貝塚		Jan-98	男性	30歳代前半	1158769	1553230	1356000	1080	-1000	縄文晩期								省略																		[71]				
JP10204	204	550	JP	日本	2	東北地方	4	宮城県			38.335939	141.145261	里浜貝塚		番外1		成人	1158769	1553230	1356000	1080	-1000	about 3000 yrs. B.P. 縄文晩期							N9b	省略	N9b																	[72]	[71]			
JP10204	204	551	JP	日本	2	東北地方	4	宮城県			38.335939	141.145261	里浜貝塚		番外2 Satohama bangai2-Tohoku		成人	1158769	1553230	1356000	1080	-1000	about 3000 yrs. B.P. 縄文晩期							N9b2(N9b2aとするデータ有)	省略	N9b2																	[71]				
JP10204	204	552	JP	日本	2	東北地方	4	宮城県					川下響貝塚		No.3		成人	939623	1407133	1173378	1280	-1500	縄文後期～晩期?								省略																		[71]				
JP10204	204	553	JP	日本	2	東北地方	4	宮城県					川下響貝塚		No.7		成人	939623	1407133	1173378	1280	-1500	縄文後期～晩期?								省略																		[71]				
JP10207	207	554	JP	日本	2	東北地方	7	福島県			37.5794	139.6112	塩喰岩陰遺跡										(縄文?)																										(孫引き)再検討				
JP10207	207	555	JP	日本	2	東北地方	7	福島県			37.5794	139.6112	塩喰岩陰遺跡										(縄文?)																										(孫引き)再検討				
JP10204	204	556	JP	日本	2	東北地方	4	宮城県			38.425833	141.394444	梨木畑貝塚		No.1			1991521	2108399	2049960	320	900	(参考：歴史時代初期(平安時代)?)							D5b2		D5b2																	[71]				
JP10204	204	557	JP	日本	2	東北地方	4	宮城県			38.425833	141.394444	梨木畑貝塚		No.2			1991521	2108399	2049960	320	900	(参考：歴史時代初期(平安時代)?)							N9b		N9b																	[71]				
JP10206	206	558	JP	日本	2	東北地方	6	山形県			39.192918	139.54746	狄穴洞窟遺跡		狄穴1			1991521	2108399	2049960	320	900	歴史時代初期(平安時代)							D4a	省略	D4a																	[73]				
JP10206	206	559	JP	日本	2	東北地方	6	山形県			39.192918	139.54746	狄穴洞窟遺跡		狄穴2			1991521	2108399	2049960	320	900	歴史時代初期(平安時代)							N9a	省略	N9a																	[73]				
JP10206	206	560	JP	日本	2	東北地方	6	山形県			39.192918	139.54746	狄穴洞窟遺跡		狄穴3			1991521	2108399	2049960	320	900	歴史時代初期(平安時代)							D4a	省略	D4a																	[73]				
JP10206	206	561	JP	日本	2	東北地方	6	山形県			39.192918	139.54746	狄穴洞窟遺跡		狄穴4			1991521	2108399	2049960	320	900	歴史時代初期(平安時代)							M7b	省略	M7b																	[73]				
JP10206	206	562	JP	日本	2	東北地方	6	山形県			39.192918	139.54746	狄穴洞窟遺跡		狄穴6			1991521	2108399	2049960	320	900	歴史時代初期(平安時代)							D4e	省略	D4e																	[73]				
JP10206	206	563	JP	日本	2	東北地方	6	山形県			39.192918	139.54746	狄穴洞窟遺跡		狄穴7			1991521	2108399	2049960	320	900	歴史時代初期(平安時代)							D5a	省略	D5a																	[73]				
JP10206	206	564	JP	日本	2	東北地方	6	山形県			39.192918	139.54746	狄穴洞窟遺跡		狄穴8			1991521	2108399	2049960	320	900	歴史時代初期(平安時代)							G1a	省略	G1a																	[73]				
JP10202	202	565	JP	日本	2	東北地方	2	青森県			40.383055	141.485277	畑内遺跡 墓域1		55	省略	省略	2386166	2429995	2408081	120	1880.5	early 18th to mid-19th							B4a		B4a																	[74]				
JP10202	202	566	JP	日本	2	東北地方	2	青森県			40.383055	141.485277	畑内遺跡 墓域1		56	省略	省略	2386166	2429995	2408081	120	1880.5	early 18th to mid-19th							F1b		F1b																	[74]				
JP10202	202	567	JP	日本	2	東北地方	2	青森県			40.383055	141.485277	畑内遺跡 墓域1		57	省略	省略	2386166	2429995	2408081	120	1880.5	early 18th to mid-19th							F1b		F1b																	[74]				
JP10202	202	568	JP	日本	2	東北地方	2	青森県			40.383055	141.485277	畑内遺跡 墓域1		58	省略	省略	2386166	2429995	2408081	120	1880.5	early 18th to mid-19th							F1b		F1b																	[74]				
JP10202	202	569	JP	日本	2	東北地方	2	青森県			40.383055	141.485277	畑内遺跡 墓域2		14	省略	省略	2386166	2429995	2408081	120	1880.5	early 18th to mid-19th							D4*		D4*																	[74]				
JP10202	202	570	JP	日本	2	東北地方	2	青森県			40.383055	141.485277	畑内遺跡 墓域2		15	省略	省略	2386166	2429995	2408081	120	1880.5	early 18th to mid-19th							D4*		D4*																	[74]				
JP10202	202	571	JP	日本	2	東北地方	2	青森県			40.383055	141.485277	畑内遺跡 墓域2		16	省略	省略	2386166	2429995	2408081	120	1880.5	early 18th to mid-19th							G1a		G1a																	[74]				
JP10202	202	572	JP	日本	2	東北地方	2	青森県			40.383055	141.485277	畑内遺跡 墓域2		17	省略	省略	2386166	2429995	2408081	120	1880.5	early 18th to mid-19th							D4a		D4a																	[74]				
JP10202	202	573	JP	日本	2	東北地方	2	青森県			40.383055	141.485277	畑内遺跡 墓域2		20	省略	省略	2386166	2429995	2408081	120	1880.5	early 18th to mid-19th							D4*		D4*																	[74]				
JP10202	202	574	JP	日本	2	東北地方	2	青森県			40.383055	141.485277	畑内遺跡 墓域2		30	省略	省略	2386166	2429995	2408081	120	1880.5	early 18th to mid-19th							G1a		G1a																	[74]				
JP10202	202	575	JP	日本	2	東北地方	2	青森県			40.383055	141.485277	畑内遺跡 墓域2		31	省略	省略	2386166	2429995	2408081	120	1880.5	early 18th to mid-19th							D4a		D4a																	[74]				
JP10202	202	576	JP	日本	2	東北地方	2	青森県			40.383055	141.485277	畑内遺跡 墓域2		33	省略	省略	2386166	2429995	2408081	120	1880.5	early 18th to mid-19th							D4a		D4a																	[74]				
JP10202	202	577	JP	日本	2	東北地方	2	青森県			40.383055	141.485277	畑内遺跡 墓域2		34	省略	省略	2386166	2429995	2408081	120	1880.5	early 18th to mid-19th							D4*		D4*																	[74]				
JP10202	202	578	JP	日本	2	東北地方	2	青森県			40.383055	141.485277	畑内遺跡 墓域2		35	省略	省略	2386166	2429995	2408081	120	1880.5	early 18th to mid-19th							D4b		D4b																	[74]				
JP10202	202	579	JP	日本	2	東北地方	2	青森県			40.383055	141.485277	畑内遺跡 墓域2		36	省略	省略	2386166	2429995	2408081	120	1880.5	early 18th to mid-19th							D4*		D4*																	[74]				
JP10202	202	580	JP	日本	2	東北地方	2	青森県			40.383055	141.485277	畑内遺跡 墓域2		40	省略	省略	2386166	2429995	2408081	120	1880.5	early 18th to mid-19th							D4*		D4*																	[74]				
JP10202	202	581	JP	日本	2	東北地方	2	青森県			40.383055	141.485277	畑内遺跡 墓域2		42	省略	省略	2386166	2429995	2408081	120	1880.5	early 18th to mid-19th							B4a		B4a																	[74]				
JP10202	202	582	JP	日本	2	東北地方	2	青森県			40.383055	141.485277	畑内遺跡 墓域2		43	省略	省略	2386166	2429995	2408081	120	1880.5	early 18th to mid-19th							G1a		G1a																	[74]				
JP10202	202	583	JP	日本	2	東北地方	2	青森県			40.383055	141.485277	畑内遺跡 墓域2		45	省略	省略	2386166	2429995	2408081	120	1880.5	early 18th to mid-19th							F1b		F1b																	[74]				
JP10202	202	584	JP	日本	2	東北地方	2	青森県			40.383055	141.485277	畑内遺跡 墓域2		46	省略	省略	2386166	2429995	2408081	120	1880.5	early 18th to mid-19th							F1b		F1b																	[74]				
JP10202	202	585	JP	日本	2	東北地方	2	青森県			40.383055	141.485277	畑内遺跡 墓域2		47	省略	省略	2386166	2429995	2408081	120	1880.5	early 18th to mid-19th							D4*		D4*																	[74]				
JP10202	202	586	JP	日本	2	東北地方	2	青森県			40.383055	141.485277	畑内遺跡 墓域2		52	省略	省略	2386166	2429995	2408081	120	1880.5	early 18th to mid-19th							D4*		D4*																	[74]				
JP10202	202	587	JP	日本	2	東北地方	2	青森県			40.383055	141.485277	畑内遺跡 墓域3		23	省略	省略	2386166	2429995	2408081	120	1880.5	early 18th to mid-19th							B4a		B4a																	[74]				
JP10202	202	588	JP	日本	2	東北地方	2	青森県			40.383055	141.485277	畑内遺跡 墓域3		26	省略	省略	2386166	2429995	2408081	120	1880.5	early 18th to mid-19th							B4a		B4a																	[74]				
JP10202	202	589	JP	日本	2	東北地方	2	青森県			40.383055	141.485277	畑内遺跡 墓域3		27	省略	省略	2386166	2429995	2408081	120	1880.5	early 18th to mid-19th							D4*		D4*																	[74]				
JP10202	202	590	JP	日本	2	東北地方	2	青森県			40.383055	141.485277	畑内遺跡 墓域3		37	省略	省略	2386166	2429995	2408081	120	1880.5	early 18th to mid-19th							A*		A*																	[74]				
JP10202	202	591	JP	日本	2	東北地方	2	青森県			40.383055	141.485277	畑内遺跡 墓域3		38	省略	省略	2386166	2429995	2408081	120	1880.5	early 18th to mid-19th							F1b		F1b																	[74]				
JP10202	202	592	JP	日本	2	東北地方	2	青森県			40.383055	141.485277	畑内遺跡 墓域3		41	省略	省略	2386166	2429995	2408081	120	1880.5	early 18th to mid-19th							A*		A*																	[74]				
JP10202	202	593	JP	日本	2	東北地方	2	青森県			40.383055	141.485277	畑内遺跡 墓域3		59	省略	省略	2386166	2429995	2408081	120	1880.5	early 18th to mid-19th							G1a		G1a																	[74]				
JP10202	202	594	JP	日本	2	東北地方	2	青森県			40.383055	141.485277	畑内遺跡 墓域4		61	省略	省略	2386166	2429995	2408081	120	1880.5	early 18th to mid-19th							G2		G2																	[74]				
CN10416	416	595	CN	中華人民共和国	4	中南地区	16	河南省	周口市	PW5F+C2J 淮陽県, 中華人民共和国 河南省 周口市	33.7086	114.9225	平粮台		PLTM310			650351	1214285	932318	1544	-2160	造律台文化（龙山时代；新石器晚期）					2275-2045cal.BCE	约4000年前	D4b1a																	n/a		[75]				
CN10416	416	596	CN	中華人民共和国	4	中南地区	16	河南省	周口市	PW5F+C2J 淮陽県, 中華人民共和国 河南省 周口市	33.7086	114.9225	平粮台		PLTM311			710616	1254462	982539	1489	-2022.5	造律台文化（龙山时代；新石器晚期）					2201-1844cal.BCE	约4000年前	D4b1a																	N1b2*>MF20869		[75]				
CN10416	416	597	CN	中華人民共和国	4	中南地区	16	河南省	周口市	PW5F+C2J 淮陽県, 中華人民共和国 河南省 周口市	33.7086	114.9225	平粮台		PLTM312			704261	1250225	977243	1494.8	-2037	造律台文化（龙山时代；新石器晚期）					2135-1939cal.BCE	约4000年前	D4b1a																	N1b2*>MF20869		[75]				
CN10416	416	598	CN	中華人民共和国	4	中南地区	16	河南省	周口市	PW5F+C2J 淮陽県, 中華人民共和国 河南省 周口市	33.7086	114.9225	平粮台		PLTM313			717848	1259283	988566	1482.4	-2006	造律台文化（龙山时代；新石器晚期）					2118-1894cal.BCE	约4000年前	F2h																	n/a		[75]				
CN10416	416	599	CN	中華人民共和国	4	中南地区	16	河南省	ラク河市	H2RC+VRH エン城区, 中華人民共和国 河南省 ラク河市	33.5922	114.0221	郝家台		HJTM107			705576	1251102	978339	1493.6	-2034	王湾三期文化煤山类型（龙山时代；新石器晚期）;<br>东周文化					2118-1950cal.BCE		D4																	C2b1b1-CTS10923		[75]				
CN10416	416	600	CN	中華人民共和国	4	中南地区	16	河南省	ラク河市	H2RC+VRH エン城区, 中華人民共和国 河南省 ラク河市	33.5922	114.0221	郝家台		HJTM109			738228	1272870	1005549	1463.8	-1959.5	王湾三期文化煤山类型（龙山时代；新石器晚期）;<br>东周文化					2031-1888cal.BCE		D4e1a																	O2a1a1b-F915		[75]				
CN10416	416	601	CN	中華人民共和国	4	中南地区	16	河南省	ラク河市	H2RC+VRH エン城区, 中華人民共和国 河南省 ラク河市	33.5922	114.0221	郝家台		HJTM115			1471708	1761857	1616783	794.4	-286	王湾三期文化煤山类型（龙山时代；新石器晚期）;<br>东周文化					365-207cal.BCE		F4a2																	n/a		[75]				
CN10416	416	602	CN	中華人民共和国	4	中南地区	16	河南省	ラク河市	H2RC+VRH エン城区, 中華人民共和国 河南省 ラク河市	33.5922	114.0221	郝家台		HJTW13			1507210	1785525	1646367	762	-205	王湾三期文化煤山类型（龙山时代；新石器晚期）;<br>东周文化					353-57cal.BCE		-																	O2a2a		[75]				
CN10416	416	603	CN	中華人民共和国	4	中南地区	16	河南省	許昌市	59HC+9R2 禹州市, 中華人民共和国 河南省 許昌市	34.1784	113.372	瓦店		WD-WT1H16			682785	1235908	959346	1514.4	-2086	王湾三期文化煤山类型（龙山时代；新石器晚期）					2139-2033cal.BCE	约4000年前	N9a2																	O2a2b1a2a1c-F3386		[76]				
CN10416	416	604	CN	中華人民共和国	4	中南地区	16	河南省	許昌市	59HC+9R2 禹州市, 中華人民共和国 河南省 許昌市	34.1784	113.372	瓦店		WD-WT5M2			742392	1275646	1009019	1460	-1950	王湾三期文化煤山类型（龙山时代；新石器晚期）					2050-1850cal.BCE	约4000年前	D5a2a																	n/a		[76]				
CN10105	105	605	CN	中華人民共和国	1	華北地区	5	内モンゴル自治区	ウランチャブ	252X+2X5 徳包図郷, 中華人民共和国 内モンゴル ウランチャブ 化徳県	42	114.2	裕民		HDY			-1218960	-31922	-625441	3250	-6425	裕民文化（新石器早期）					8415-8335cal.BP	约8400年前	C5d																	n/a		[77]				
CN10631	631	606	CN	中華人民共和国	6	西北地区	31	新疆ウイグル自治区	クムル地区	J558+VMP 石人子郷, 中華人民共和国 新疆ウイグル クムル地区 バルクル・カザフ	43.6097	93.1667	石人子沟		M012(中墓)			1509401	1786986	1648194	760	-200	焉不拉克文化、巴泽雷克文化、中原文化（战国晚期-西汉初期）					-	约2200年前	U5a2																	R1b2		[78]				
CN10631	631	607	CN	中華人民共和国	6	西北地区	31	新疆ウイグル自治区	クムル地区	J558+VMP 石人子郷, 中華人民共和国 新疆ウイグル クムル地区 バルクル・カザフ	43.6097	93.1667	石人子沟		M010(小墓)			1430509	1734391	1582450	832	-380	焉不拉克文化、巴泽雷克文化、中原文化（战国晚期-西汉初期）					410–350cal.BCE	约2200年前	D4j1b																	n/a		[78]				
CN10631	631	608	CN	中華人民共和国	6	西北地区	31	新疆ウイグル自治区	クムル地区	J558+VMP 石人子郷, 中華人民共和国 新疆ウイグル クムル地区 バルクル・カザフ	43.6097	93.1667	石人子沟		M4			1469955	1760688	1615322	796	-290	焉不拉克文化、巴泽雷克文化、中原文化（战国晚期-西汉初期）					380–200cal.BCE	约2200年前	U4																	R1a1a1b2-Z93(Z2121- Z29137- Y36424- Y2424-)		[78]				
CN10631	631	609	CN	中華人民共和国	6	西北地区	31	新疆ウイグル自治区	クムル地区	J558+VMP 石人子郷, 中華人民共和国 新疆ウイグル クムル地区 バルクル・カザフ	43.6097	93.1667	石人子沟		M819			1509401	1786986	1648194	760	-200	焉不拉克文化、巴泽雷克文化、中原文化（战国晚期-西汉初期）					-	约2200年前	H15b1																	n/a		[78]				
CN10631	631	610	CN	中華人民共和国	6	西北地区	31	新疆ウイグル自治区	クムル地区	J558+VMP 石人子郷, 中華人民共和国 新疆ウイグル クムル地区 バルクル・カザフ	43.6097	93.1667	石人子沟		M820			1484200	1770184	1627192	783	-257.5	焉不拉克文化、巴泽雷克文化、中原文化（战国晚期-西汉初期）					285–230cal.BCE	约2200年前	U5b2c+A4718G																	n/a		[78]				
CN10631	631	611	CN	中華人民共和国	6	西北地区	31	新疆ウイグル自治区	クムル地区	J558+VMP 石人子郷, 中華人民共和国 新疆ウイグル クムル地区 バルクル・カザフ	43.6097	93.1667	石人子沟		M8R1			1469955	1760688	1615322	796	-290	焉不拉克文化、巴泽雷克文化、中原文化（战国晚期-西汉初期）					380–200cal.BCE	约2200年前	T1a1b1																	IJK (xI xJ xLT xN)[质量较差无法细分]		[78]				
CN10631	631	612	CN	中華人民共和国	6	西北地区	31	新疆ウイグル自治区	クムル地区	J558+VMP 石人子郷, 中華人民共和国 新疆ウイグル クムル地区 バルクル・カザフ	43.6097	93.1667	石人子沟		M15-1(殉人)			1509401	1786986	1648194	760	-200	焉不拉克文化、巴泽雷克文化、中原文化（战国晚期-西汉初期）					-	约2200年前	I1b																	R1b2b2		[78]				
CN10631	631	613	CN	中華人民共和国	6	西北地区	31	新疆ウイグル自治区	クムル地区	J558+VMP 石人子郷, 中華人民共和国 新疆ウイグル クムル地区 バルクル・カザフ	43.6097	93.1667	石人子沟		M15-2(殉人)			1509401	1786986	1648194	760	-200	焉不拉克文化、巴泽雷克文化、中原文化（战国晚期-西汉初期）					-	约2200年前	U4+A10523G																	Q1a1a(MF1646- Y557-)		[78]				
CN10631	631	614	CN	中華人民共和国	6	西北地区	31	新疆ウイグル自治区	クムル地区	J558+VMP 石人子郷, 中華人民共和国 新疆ウイグル クムル地区 バルクル・カザフ	43.6097	93.1667	石人子沟		X3(石圈人牲)			1509401	1786986	1648194	760	-200	焉不拉克文化、巴泽雷克文化、中原文化（战国晚期-西汉初期）					-	约2200年前	G3b																	Q1a2a2b1-F5400		[78]				
CN10631	631	615	CN	中華人民共和国	6	西北地区	31	新疆ウイグル自治区	クムル地区	J558+VMP 石人子郷, 中華人民共和国 新疆ウイグル クムル地区 バルクル・カザフ	43.6097	93.1667	石人子沟		F004: 370–190cal.BCE; [MT]A17, [Y]n/a, 47.7%颜那亚+36.6%东北亚+15.7%东亚成分			1509401	1786986	1648194	760	-200	焉不拉克文化、巴泽雷克文化、中原文化（战国晚期-西汉初期）						约2200年前																				[78]				
CN10631	631	616	CN	中華人民共和国	6	西北地区	31	新疆ウイグル自治区	バインゴリン・モンゴル	中華人民共和国 新疆ウイグル バインゴリン・モンゴル チャルクリク	40.3364	88.6725	小河小麦					939623	1407133	1173378	1280	-1500	青铜时期						约3800-3200年前																				[79]				
CN10631	631	617	CN	中華人民共和国	6	西北地区	31	新疆ウイグル自治区	バインゴリン・モンゴル	中華人民共和国 新疆ウイグル バインゴリン・モンゴル ロプノール	40.6782	88.9342	古墓沟小麦					939623	1407133	1173378	1280	-1500	青铜时期						约3800-3200年前																				[79]				
CN10208	208	618	CN	中華人民共和国	2	東北地区	8	黒竜江省	チチハル	4J42+52F フラルキ, 中華人民共和国 黒竜江省 チチハル	47.105432	123.600045	洪河村		HQHM2			720478	1261036	990757	1480	-2000	昂昂溪文化（新石器晚期）					-	约4000年前	D4c1b																	C2a		[80]				
CN10208	208	619	CN	中華人民共和国	2	東北地区	8	黒竜江省	チチハル	4J42+52F フラルキ, 中華人民共和国 黒竜江省 チチハル	47.105432	123.600045	洪河村		HQHM3			720478	1261036	990757	1480	-2000	昂昂溪文化（新石器晚期）					-	约4000年前	D4j																	P~[质量较差无法细分]		[80]				
CN10208	208	620	CN	中華人民共和国	2	東北地区	8	黒竜江省	チチハル	4J42+52F フラルキ, 中華人民共和国 黒竜江省 チチハル	47.105432	123.600045	洪河村		HQHM4			720478	1261036	990757	1480	-2000	昂昂溪文化（新石器晚期）					-	约4000年前	D4b2a																	Q1a1a(F1907-)		[80]				
CN10208	208	621	CN	中華人民共和国	2	東北地区	8	黒竜江省	チチハル	4J42+52F フラルキ, 中華人民共和国 黒竜江省 チチハル	47.105432	123.600045	洪河村		HQHM5			720478	1261036	990757	1480	-2000	昂昂溪文化（新石器晚期）					-	约4000年前	D4																	n/a		[80]				
CN10105	105	622	CN	中華人民共和国	1	華北地区	5	内モンゴル自治区	赤峰市	3859+VHX 土城子鎮, 中華人民共和国 内モンゴル 赤峰市 ヘシグテン旗	43.059737	118.318991	龙头山		91KLH11			1158769	1553230	1356000	1080	-1000	夏家店上层文化（青铜时期）					-	约3000年前	D4m1																	n/a		[100]				
CN10105	105	623	CN	中華人民共和国	1	華北地区	5	内モンゴル自治区	赤峰市	3859+VHX 土城子鎮, 中華人民共和国 内モンゴル 赤峰市 ヘシグテン旗	43.059737	118.318991	龙头山		91KLH18			1218814	1593261	1406038	1025.2	-863	夏家店上层文化（青铜时期）					2851-2775cal.BP	约3000年前	D4j14																	N1a1a3		[100]				
CN10105	105	624	CN	中華人民共和国	1	華北地区	5	内モンゴル自治区	赤峰市	3859+VHX 土城子鎮, 中華人民共和国 内モンゴル 赤峰市 ヘシグテン旗	43.059737	118.318991	龙头山		91KLM2			1158769	1553230	1356000	1080	-1000	夏家店上层文化（青铜时期）					-	约3000年前	B4c1a2																	C2a1a1a2a1		[100]				
CN10105	105	625	CN	中華人民共和国	1	華北地区	5	内モンゴル自治区	赤峰市	3859+VHX 土城子鎮, 中華人民共和国 内モンゴル 赤峰市 ヘシグテン旗	43.059737	118.318991	龙头山		91KLM8			1158769	1553230	1356000	1080	-1000	夏家店上层文化（青铜时期）					-	约3000年前	D5b																	n/a		[100]				
CN10206	206	626	CN	中華人民共和国	2	東北地区	6	遼寧省	朝陽市	C77F+VP9 竜城区, 中華人民共和国 遼寧省 朝陽市	41.4146691	120.2743518	半拉山		BLSM14			150699	881184	515942	2000	-3300	红山文化（新石器中期）					-	约5300年前	D5a3a1																	n/a		[75]				
CN10206	206	627	CN	中華人民共和国	2	東北地区	6	遼寧省	朝陽市	C77F+VP9 竜城区, 中華人民共和国 遼寧省 朝陽市	41.4146691	120.2743518	半拉山		BLSM27S			150699	881184	515942	2000	-3300	红山文化（新石器中期）					-	约5300年前	D5a3a1																	n/a		[75]				
CN10206	206	628	CN	中華人民共和国	2	東北地区	6	遼寧省	朝陽市	C77F+VP9 竜城区, 中華人民共和国 遼寧省 朝陽市	41.4146691	120.2743518	半拉山		BLSM41			150699	881184	515942	2000	-3300	红山文化（新石器中期）					-	约5300年前	-																	O2a2b		[75]				
CN10206	206	629	CN	中華人民共和国	2	東北地区	6	遼寧省	朝陽市	C77F+VP9 竜城区, 中華人民共和国 遼寧省 朝陽市	41.4146691	120.2743518	半拉山		BLSM45			186639	905144	545892	1967.2	-3218	红山文化（新石器中期）					5288-5048cal.BP	约5300年前	D5a3a1																	n/a		[75]				
CN10105	105	630	CN	中華人民共和国	1	華北地区	5	内モンゴル自治区	赤峰市	3WXX+R8W 紅山区, 中華人民共和国 内モンゴル 赤峰市	42.0996111	118.9483178	二道井子		EDJM166			720478	1261036	990757	1480	-2000	夏家店下层文化（新石器晚期-青铜时期）					-	约4000年前	Z3																	-		[75]				
CN10105	105	631	CN	中華人民共和国	1	華北地区	5	内モンゴル自治区	赤峰市	3WXX+R8W 紅山区, 中華人民共和国 内モンゴル 赤峰市	42.0996111	118.9483178	二道井子		EDM101			720478	1261036	990757	1480	-2000	夏家店下层文化（新石器晚期-青铜时期）					-	约4000年前	N																	-		[75]				
CN10105	105	632	CN	中華人民共和国	1	華北地区	5	内モンゴル自治区	赤峰市	3WXX+R8W 紅山区, 中華人民共和国 内モンゴル 赤峰市	42.0996111	118.9483178	二道井子		EDM124			894041	1376745	1135393	1321.6	-1604	夏家店下层文化（新石器晚期-青铜时期）					3614-3494cal.BP	约4000年前	B5b1a																	O2a1b1a2a		[75]				
CN10105	105	633	CN	中華人民共和国	1	華北地区	5	内モンゴル自治区	赤峰市	3WXX+R8W 紅山区, 中華人民共和国 内モンゴル 赤峰市	42.0996111	118.9483178	二道井子		EDM139			720478	1261036	990757	1480	-2000	夏家店下层文化（新石器晚期-青铜时期）					-	约4000年前	A22																	n/a		[75]				
CN10105	105	634	CN	中華人民共和国	1	華北地区	5	内モンゴル自治区	赤峰市	3WXX+R8W 紅山区, 中華人民共和国 内モンゴル 赤峰市	42.0996111	118.9483178	二道井子		EDM176			720478	1261036	990757	1480	-2000	夏家店下层文化（新石器晚期-青铜时期）					-	约4000年前	N9a1																	N1b1		[75]				
CN10105	105	635	CN	中華人民共和国	1	華北地区	5	内モンゴル自治区	通遼市	2XPV+6X6 舎伯吐鎮, 中華人民共和国 内モンゴル 通遼市 ホルチン左翼中旗	44.0355421	121.9948977	哈民忙哈		HMF32			-9277	774533	382628	2146	-3665	哈民忙哈文化（新石器中期）					5644-5586cal.BP	约5600年前	D4j																	n/a		[75]				
CN10416	416	636	CN	中華人民共和国	4	中南地区	16	河南省	焦作市	55C3+8V8 山陽区, 中華人民共和国 河南省 焦作市	35.1707822	113.1546898	聂村		JXNTM2			1114939	1524011	1319475	1120	-1100	商文化（青铜时期）					-	约3100年前	A5b1b																	O2a2b1a2a1a3b2b*-SK1768		[75]				
CN10416	416	637	CN	中華人民共和国	4	中南地区	16	河南省	焦作市	55C3+8V8 山陽区, 中華人民共和国 河南省 焦作市	35.1707822	113.1546898	聂村		JXNTM23			1081191	1501512	1291352	1150.8	-1177	商文化（青铜时期）					3181-3073cal.BP	约3100年前	C4a1a2																	n/a		[75]				
